id,age,hours,score,group,condition,w,item1,item2,item3,item4
1,37.8,31.9,51.545,2,1,1,3,2,1,5
2,68.0,36.5,41.169,1,2,1,1,4,4,1
3,53.8,25.1,87.803,2,2,4,5,1,5,2
4,50.1,46.0,50.095,2,1,1,4,4,5,5
5,38.7,41.5,62.406,2,3,2,2,5,1,3
6,54.6,35.7,50.224,1,1,1,2,5,1,2
7,40.4,32.3,51.65,2,2,1,4,2,2,5
8,19.4,32.4,49.082,1,2,1,1,4,2,1
9,48.6,43.7,37.899,1,1,1,5,2,1,4
10,41.3,33.0,54.994,2,1,2,2,5,1,3
11,51.0,39.5,53.498,1,2,2,1,2,5,3
12,34.3,49.6,54.607,1,1,2,5,1,1,2
13,23.7,34.3,49.562,1,1,1,1,5,5,99
14,24.4,44.5,54.428,1,2,2,4,3,5,99
15,33.3,38.9,42.28,2,1,1,4,3,5,5
16,37.8,30.1,62.335,1,1,2,4,1,2,1
17,43.4,37.7,60.498,2,1,2,1,3,4,4
18,30.9,30.4,72.145,2,1,3,2,1,4,3
19,46.9,28.8,46.576,2,1,1,5,4,1,5
20,26.7,43.5,72.268,2,2,3,3,1,4,3
21,20.9,48.2,57.589,2,1,2,2,2,1,5
22,49.9,40.3,51.694,1,1,1,2,5,1,99
23,47.2,33.8,43.002,1,1,1,4,3,3,1
24,43.3,35.8,68.714,2,1,3,2,3,3,4
25,44.9,56.3,64.357,1,2,3,2,4,4,4
26,48.7,41.9,60.868,1,2,2,3,5,2,2
27,35.0,41.4,,2,2,4,4,2,4,2
28,29.2,33.3,79.226,2,1,4,2,4,5,2
29,24.7,39.1,43.515,2,3,1,4,5,1,5
30,50.9,45.1,81.61,2,2,4,3,3,4,1
31,56.1,23.3,58.825,2,3,2,5,1,1,3
32,45.0,41.9,,2,1,1,1,2,5,99
33,18,32.8,66.64,1,3,3,4,5,3,5
34,40.7,23.4,56.454,1,1,2,5,2,5,3
35,75,27.9,44.907,1,1,1,3,3,3,5
36,53.8,38.7,52.371,1,1,2,1,3,4,2
37,46.7,34.3,61.266,1,3,2,3,3,2,2
38,49.0,36.0,59.728,1,3,2,1,3,4,1
39,54.9,45.4,62.598,1,1,2,1,2,1,99
40,29.1,31.0,47.313,1,1,1,1,3,1,99
41,37.8,33.9,64.09,2,2,3,1,1,5,1
42,61.8,27.7,58.76,2,2,2,3,4,4,99
43,39.2,33.5,44.529,1,1,1,1,1,3,4
44,53.8,40.1,59.086,2,3,2,4,3,2,5
45,53.1,51.0,54.769,2,1,2,2,4,5,1
46,52.3,37.4,69.693,2,3,3,1,1,2,2
47,33.7,46.3,75.676,2,1,3,3,2,3,4
48,30.3,30.9,54.904,2,1,2,2,3,2,2
49,20.9,42.5,50.081,1,1,1,2,1,3,1
50,24.0,33.7,56.769,1,3,2,5,1,4,3
51,44.7,35.5,56.315,1,2,2,2,3,3,4
52,,49.9,83.386,2,1,4,4,2,4,3
53,53.3,34.9,50.539,1,1,1,3,2,4,1
54,42.2,29.3,55.613,2,1,2,4,5,2,1
55,34.3,38.4,60.225,1,2,2,4,1,4,3
56,52.2,46.8,,1,1,1,5,3,4,2
57,70.5,38.9,54.28,2,2,2,2,3,1,4
58,47.0,25.3,56.019,1,1,2,1,3,2,5
59,41.6,30.3,41.907,2,1,1,3,1,2,5
60,25.0,33.3,39.797,1,2,1,5,2,3,3
61,34.8,37.2,37.426,1,3,1,2,1,4,3
62,27.5,45.2,30.322,2,1,1,5,3,4,5
63,53.4,30.0,64.809,2,3,3,1,3,3,3
64,35.8,41.4,52.126,2,3,2,4,4,2,3
65,32.0,50.4,57.512,1,3,2,1,5,4,5
66,27.9,31.0,75.514,2,1,3,4,4,2,5
67,54.4,41.5,77.33,1,1,4,4,4,2,5
68,27.3,29.4,64.56,1,1,3,2,3,5,3
69,40.0,32.5,51.151,1,2,1,3,2,2,3
70,,35.9,67.32,1,3,3,4,5,3,99
71,30.3,31.4,43.993,1,2,1,4,3,4,1
72,33.2,42.8,67.802,2,3,3,1,1,4,99
73,36.7,14.6,46.07,1,1,1,2,1,3,5
74,46.0,50.4,44.465,1,1,1,2,3,5,3
75,18,40.6,,1,2,2,1,3,5,5
76,40.6,32.1,50.1,1,1,1,3,2,3,99
77,33.3,47.9,47.57,2,3,1,3,2,1,5
78,51.7,37.5,48.869,1,2,1,2,2,2,5
79,36.6,34.3,70.557,2,2,3,2,4,2,4
80,,39.6,54.57,2,2,2,4,3,2,3
81,40.8,,61.074,2,2,2,5,3,5,4
82,43.3,34.3,55.993,2,2,2,2,4,3,4
83,38.6,55.8,44.538,1,1,1,3,5,1,5
84,33.7,55.3,30.528,1,2,1,1,2,3,2
85,51.7,37.3,58.681,2,3,2,3,2,2,99
86,32.2,42.8,43.801,2,3,1,4,2,3,99
87,,26.9,52.038,2,2,2,1,1,5,1
88,42.5,30.1,62.829,2,1,2,2,5,2,5
89,61.8,34.2,34.38,1,1,1,2,3,3,2
90,33.7,51.5,47.261,2,1,1,2,5,5,5
91,57.1,24.6,54.99,1,1,2,5,4,4,5
92,45.6,41.9,43.824,2,1,1,4,5,1,4
